province,province_raw,party_code,party_name,kabkot_seats
Aceh,Aceh,PKB,Partai Kebangkitan Bangsa,53
Aceh,Aceh,Gerindra,Partai Gerakan Indonesia Raya,59
Aceh,Aceh,PDIP,Partai Demokrasi Indonesia Perjuangan,8
Aceh,Aceh,Golkar,Partai Golongan Karya,89
Aceh,Aceh,NasDem,Partai NasDem,69
Aceh,Aceh,Buruh,Partai Buruh,0
Aceh,Aceh,Gelora,Partai Gelombang Rakyat Indonesia,3
Aceh,Aceh,PKS,Partai Keadilan Sejahtera,48
Aceh,Aceh,PKN,Partai Kebangkitan Nusantara,0
Aceh,Aceh,Hanura,Partai Hati Nurani Rakyat,21
Aceh,Aceh,Garuda,Partai Garda Republik Indonesia,1
Aceh,Aceh,PAN,Partai Amanat Nasional,57
Aceh,Aceh,PBB,Partai Bulan Bintang,7
Aceh,Aceh,Demokrat,Partai Demokrat,59
Aceh,Aceh,PSI,Partai Solidaritas Indonesia,0
Aceh,Aceh,Perindo,Partai Perindo,0
Aceh,Aceh,PPP,Partai Persatuan Pembangunan,27
Aceh,Aceh,PNA,PNA,21
Aceh,Aceh,Gabthat,Gabthat,0
Aceh,Aceh,PDA,PDA,7
Aceh,Aceh,PA,PA,116
Aceh,Aceh,PASA,PASA,16
Aceh,Aceh,SIRA,SIRA,3
Aceh,Aceh,Ummat,Partai Ummat,1
Sumatera Utara,North Sumatra,PKB,Partai Kebangkitan Bangsa,58
Sumatera Utara,North Sumatra,Gerindra,Partai Gerakan Indonesia Raya,133
Sumatera Utara,North Sumatra,PDIP,Partai Demokrasi Indonesia Perjuangan,182
Sumatera Utara,North Sumatra,Golkar,Partai Golongan Karya,207
Sumatera Utara,North Sumatra,NasDem,Partai NasDem,140
Sumatera Utara,North Sumatra,Buruh,Partai Buruh,0
Sumatera Utara,North Sumatra,Gelora,Partai Gelombang Rakyat Indonesia,5
Sumatera Utara,North Sumatra,PKS,Partai Keadilan Sejahtera,56
Sumatera Utara,North Sumatra,PKN,Partai Kebangkitan Nusantara,4
Sumatera Utara,North Sumatra,Hanura,Partai Hati Nurani Rakyat,65
Sumatera Utara,North Sumatra,Garuda,Partai Garda Republik Indonesia,1
Sumatera Utara,North Sumatra,PAN,Partai Amanat Nasional,84
Sumatera Utara,North Sumatra,PBB,Partai Bulan Bintang,14
