province,province_raw,party_code,party_name,provincial_seats,source_url,notes
Aceh,Aceh,PA,Partai Aceh,20,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Aceh,elected party seats only
Aceh,Aceh,NasDem,Partai NasDem,10,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Aceh,elected party seats only
Aceh,Aceh,Golkar,Partai Golongan Karya,9,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Aceh,elected party seats only
Aceh,Aceh,PKB,Partai Kebangkitan Bangsa,9,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Aceh,elected party seats only
Aceh,Aceh,Demokrat,Partai Demokrat,7,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Aceh,elected party seats only
Aceh,Aceh,Gerindra,Partai Gerakan Indonesia Raya,5,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Aceh,elected party seats only
Aceh,Aceh,PAN,Partai Amanat Nasional,5,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Aceh,elected party seats only
Aceh,Aceh,PPP,Partai Persatuan Pembangunan,5,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Aceh,elected party seats only
Aceh,Aceh,PASA,PASA,4,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Aceh,elected party seats only
Aceh,Aceh,PKS,Partai Keadilan Sejahtera,4,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Aceh,elected party seats only
Aceh,Aceh,PDA,PDA,1,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Aceh,elected party seats only
Aceh,Aceh,PDIP,Partai Demokrasi Indonesia Perjuangan,1,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Aceh,elected party seats only
Aceh,Aceh,PNA,PNA,1,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Aceh,elected party seats only
Sumatera Utara,Sumatera Utara,Golkar,Partai Golongan Karya,22,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Sumatera_Utara,elected party seats only
Sumatera Utara,Sumatera Utara,PDIP,Partai Demokrasi Indonesia Perjuangan,21,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Sumatera_Utara,elected party seats only
Sumatera Utara,Sumatera Utara,Gerindra,Partai Gerakan Indonesia Raya,13,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Sumatera_Utara,elected party seats only
Sumatera Utara,Sumatera Utara,NasDem,Partai NasDem,12,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Sumatera_Utara,elected party seats only
Sumatera Utara,Sumatera Utara,PKS,Partai Keadilan Sejahtera,10,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Sumatera_Utara,elected party seats only
Sumatera Utara,Sumatera Utara,PAN,Partai Amanat Nasional,6,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Sumatera_Utara,elected party seats only
Sumatera Utara,Sumatera Utara,Demokrat,Partai Demokrat,5,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Sumatera_Utara,elected party seats only
Sumatera Utara,Sumatera Utara,Hanura,Partai Hati Nurani Rakyat,5,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Sumatera_Utara,elected party seats only
Sumatera Utara,Sumatera Utara,PKB,Partai Kebangkitan Bangsa,4,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Sumatera_Utara,elected party seats only
Sumatera Utara,Sumatera Utara,PPP,Partai Persatuan Pembangunan,1,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Sumatera_Utara,elected party seats only
Sumatera Utara,Sumatera Utara,Perindo,Partai Perindo,1,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Sumatera_Utara,elected party seats only
Sumatera Barat,Sumatera Barat,Gerindra,Partai Gerakan Indonesia Raya,10,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Sumatera_Barat,elected party seats only
Sumatera Barat,Sumatera Barat,PKS,Partai Keadilan Sejahtera,10,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Sumatera_Barat,elected party seats only
Sumatera Barat,Sumatera Barat,Golkar,Partai Golongan Karya,9,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Sumatera_Barat,elected party seats only
Sumatera Barat,Sumatera Barat,NasDem,Partai NasDem,9,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Sumatera_Barat,elected party seats only
Sumatera Barat,Sumatera Barat,Demokrat,Partai Demokrat,8,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Sumatera_Barat,elected party seats only
Sumatera Barat,Sumatera Barat,PAN,Partai Amanat Nasional,8,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Sumatera_Barat,elected party seats only
Sumatera Barat,Sumatera Barat,PPP,Partai Persatuan Pembangunan,5,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Sumatera_Barat,elected party seats only
Sumatera Barat,Sumatera Barat,PDIP,Partai Demokrasi Indonesia Perjuangan,3,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Sumatera_Barat,elected party seats only
Sumatera Barat,Sumatera Barat,PKB,Partai Kebangkitan Bangsa,3,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Sumatera_Barat,elected party seats only
Riau,Riau,PDIP,Partai Demokrasi Indonesia Perjuangan,11,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Riau,elected party seats only
Riau,Riau,Golkar,Partai Golongan Karya,10,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Riau,elected party seats only
