province,candidate,coalition_parties,dprd_provincial_seats,dprd_provincial_seat_share,dpr_estimated_seats,dpr_estimated_seat_share,pilpres_vote_share,pilpres_minus_dprd_seat_share
Aceh,Anies,PKB|PKS|NasDem|Ummat,23,0.283951,6,0.461538,0.735600,0.451649
Sumatera Barat,Anies,PKB|PKS|NasDem|Ummat,22,0.338462,6,0.428571,0.565300,0.226838
Papua,Anies,PKB|PKS|NasDem|Ummat,15,0.333333,1,0.333333,0.108100,-0.225233
Papua Selatan,Anies,PKB|PKS|NasDem|Ummat,12,0.342857,2,0.666667,0.133100,-0.209757
Nusa Tenggara Timur,Anies,PKB|PKS|NasDem|Ummat,16,0.246154,4,0.307692,0.052700,-0.193454
Jawa Timur,Anies,PKB|PKS|NasDem|Ummat,42,0.350000,30,0.344828,0.175200,-0.174800
Lampung,Anies,PKB|PKS|NasDem|Ummat,28,0.329412,6,0.300000,0.154900,-0.174512
Papua Pegunungan,Anies,PKB|PKS|NasDem|Ummat,17,0.377778,1,0.333333,0.218900,-0.158878
Jawa Tengah,Anies,PKB|PKS|NasDem|Ummat,34,0.283333,24,0.311688,0.125800,-0.157533
Papua Barat,Anies,PKB|PKS|NasDem|Ummat,9,0.257143,1,0.333333,0.113200,-0.143943
Sumatera Selatan,Anies,PKB|PKS|NasDem|Ummat,24,0.320000,6,0.352941,0.189800,-0.130200
Sulawesi Tengah,Anies,PKB|PKS|NasDem|Ummat,18,0.327273,1,0.142857,0.215000,-0.112273
Papua Tengah,Anies,PKB|PKS|NasDem|Ummat,10,0.222222,1,0.333333,0.116600,-0.105622
Sulawesi Utara,Anies,PKB|PKS|NasDem|Ummat,8,0.177778,1,0.166667,0.073000,-0.104778
Maluku,Anies,PKB|PKS|NasDem|Ummat,14,0.311111,1,0.250000,0.211600,-0.099511
Kepulauan Bangka Belitung,Anies,PKB|PKS|NasDem|Ummat,14,0.311111,0,0.000000,0.230800,-0.080311
Daerah Istimewa Yogyakarta,Anies,PKB|PKS|NasDem|Ummat,15,0.272727,3,0.375000,0.198000,-0.074727
Sulawesi Barat,Anies,PKB|PKS|NasDem|Ummat,9,0.200000,1,0.250000,0.272300,0.072300
Sulawesi Tenggara,Anies,PKB|PKS|NasDem|Ummat,13,0.288889,2,0.333333,0.231000,-0.057889
Kalimantan Tengah,Anies,PKB|PKS|NasDem|Ummat,10,0.222222,1,0.166667,0.169800,-0.052422
DKI Jakarta,Anies,PKB|PKS|NasDem|Ummat,38,0.358491,8,0.380952,0.410700,0.052209
Kalimantan Utara,Anies,PKB|PKS|NasDem|Ummat,8,0.228571,0,0.000000,0.176700,-0.051871
Jambi,Anies,PKB|PKS|NasDem|Ummat,16,0.290909,2,0.250000,0.241500,-0.049409
Kalimantan Selatan,Anies,PKB|PKS|NasDem|Ummat,22,0.400000,3,0.272727,0.351600,-0.048400
