province,leading_party_code,leading_party_name,leading_party_seats,leading_party_seat_share,runner_up_party_code,runner_up_party_name,runner_up_party_seats,seat_margin
Bali,PDIP,Partai Demokrasi Indonesia Perjuangan,32,0.581818,Gerindra,Partai Gerakan Indonesia Raya,10,22
Jawa Tengah,PDIP,Partai Demokrasi Indonesia Perjuangan,33,0.275000,PKB,Partai Kebangkitan Bangsa,20,13
Sulawesi Utara,PDIP,Partai Demokrasi Indonesia Perjuangan,19,0.422222,Demokrat,Partai Demokrat,6,13
Daerah Istimewa Yogyakarta,PDIP,Partai Demokrasi Indonesia Perjuangan,19,0.345455,Gerindra,Partai Gerakan Indonesia Raya,8,11
Aceh,PA,Partai Aceh,20,0.246914,NasDem,Partai NasDem,10,10
Jawa Timur,PKB,Partai Kebangkitan Bangsa,27,0.225000,Gerindra,Partai Gerakan Indonesia Raya,21,6
Papua Pegunungan,NasDem,Partai NasDem,11,0.244444,Demokrat,Partai Demokrat,5,6
Papua Tengah,PDIP,Partai Demokrasi Indonesia Perjuangan,11,0.244444,NasDem,Partai NasDem,5,6
Kalimantan Timur,Golkar,Partai Golongan Karya,15,0.272727,Gerindra,Partai Gerakan Indonesia Raya,10,5
Bengkulu,Golkar,Partai Golongan Karya,10,0.222222,Gerindra,Partai Gerakan Indonesia Raya,6,4
DKI Jakarta,PKS,Partai Keadilan Sejahtera,18,0.169811,PDIP,Partai Demokrasi Indonesia Perjuangan,15,3
Jambi,PAN,Partai Amanat Nasional,10,0.181818,Golkar,Partai Golongan Karya,7,3
Kalimantan Barat,PDIP,Partai Demokrasi Indonesia Perjuangan,13,0.200000,NasDem,Partai NasDem,10,3
Kalimantan Selatan,Golkar,Partai Golongan Karya,13,0.236364,NasDem,Partai NasDem,10,3
Lampung,Gerindra,Partai Gerakan Indonesia Raya,16,0.188235,PDIP,Partai Demokrasi Indonesia Perjuangan,13,3
Maluku Utara,Golkar,Partai Golongan Karya,8,0.177778,Hanura,Partai Hati Nurani Rakyat,5,3
Papua Barat Daya,Golkar,Partai Golongan Karya,8,0.228571,Demokrat,Partai Demokrat,5,3
Sulawesi Selatan,NasDem,Partai NasDem,17,0.200000,Golkar,Partai Golongan Karya,14,3
Kalimantan Tengah,PDIP,Partai Demokrasi Indonesia Perjuangan,10,0.222222,Golkar,Partai Golongan Karya,8,2
Maluku,PDIP,Partai Demokrasi Indonesia Perjuangan,8,0.177778,NasDem,Partai NasDem,6,2
Sulawesi Barat,Golkar,Partai Golongan Karya,10,0.222222,Demokrat,Partai Demokrat,8,2
Gorontalo,Golkar,Partai Golongan Karya,8,0.177778,NasDem,Partai NasDem,7,1
Jawa Barat,Gerindra,Partai Gerakan Indonesia Raya,20,0.166667,Golkar,Partai Golongan Karya,19,1
Kepulauan Bangka Belitung,PDIP,Partai Demokrasi Indonesia Perjuangan,9,0.200000,Golkar,Partai Golongan Karya,8,1
Papua,Golkar,Partai Golongan Karya,9,0.200000,NasDem,Partai NasDem,8,1
Papua Selatan,PDIP,Partai Demokrasi Indonesia Perjuangan,7,0.200000,NasDem,Partai NasDem,6,1
Riau,PDIP,Partai Demokrasi Indonesia Perjuangan,11,0.169231,Golkar,Partai Golongan Karya,10,1
Sumatera Selatan,Golkar,Partai Golongan Karya,12,0.160000,Gerindra,Partai Gerakan Indonesia Raya,11,1
Sumatera Utara,Golkar,Partai Golongan Karya,22,0.220000,PDIP,Partai Demokrasi Indonesia Perjuangan,21,1
Banten,Gerindra,Partai Gerakan Indonesia Raya,14,0.140000,Golkar,Partai Golongan Karya,14,0
Kalimantan Utara,Demokrat,Partai Demokrat,6,0.171429,Gerindra,Partai Gerakan Indonesia Raya,6,0
Kepulauan Riau,Gerindra,Partai Gerakan Indonesia Raya,9,0.200000,Golkar,Partai Golongan Karya,9,0
Nusa Tenggara Barat,Gerindra,Partai Gerakan Indonesia Raya,10,0.153846,Golkar,Partai Golongan Karya,10,0
Nusa Tenggara Timur,Gerindra,Partai Gerakan Indonesia Raya,9,0.138462,Golkar,Partai Golongan Karya,9,0
Papua Barat,Golkar,Partai Golongan Karya,7,0.200000,PDIP,Partai Demokrasi Indonesia Perjuangan,7,0
Sulawesi Tengah,Demokrat,Partai Demokrat,8,0.145455,Golkar,Partai Golongan Karya,8,0
Sulawesi Tenggara,Golkar,Partai Golongan Karya,6,0.133333,NasDem,Partai NasDem,6,0
Sumatera Barat,Gerindra,Partai Gerakan Indonesia Raya,10,0.153846,PKS,Partai Keadilan Sejahtera,10,0
