province,party_code,party_name,party_scope,comparable_to_dpr,dprd_provincial_seats,dprd_provincial_seat_share,dpr_estimated_seats,dpr_estimated_seat_share,dpr_total_votes,dpr_vote_share,dprd_minus_dpr_vote_share,dprd_minus_dpr_seat_share
Aceh,PA,Partai Aceh,local_aceh,false,20,0.246914,0,0.000000,0,0.000000,,
Aceh,NasDem,Partai NasDem,national,true,10,0.123457,2,0.153846,328147,0.107669,0.015787,-0.030389
Aceh,Golkar,Partai Golongan Karya,national,true,9,0.111111,3,0.230769,594213,0.194969,-0.083858,-0.119658
Aceh,PKB,Partai Kebangkitan Bangsa,national,true,9,0.111111,2,0.153846,587783,0.192859,-0.081748,-0.042735
Aceh,Demokrat,Partai Demokrat,national,true,7,0.086420,1,0.076923,224351,0.073613,0.012807,0.009497
Aceh,Gerindra,Partai Gerakan Indonesia Raya,national,true,5,0.061728,1,0.076923,263602,0.086491,-0.024763,-0.015195
Aceh,PAN,Partai Amanat Nasional,national,true,5,0.061728,1,0.076923,268710,0.088167,-0.026439,-0.015195
Aceh,PPP,Partai Persatuan Pembangunan,national,true,5,0.061728,0,0.000000,230749,0.075712,-0.013983,0.061728
Aceh,PASA,PASA,local_aceh,false,4,0.049383,0,0.000000,0,0.000000,,
Aceh,PKS,Partai Keadilan Sejahtera,national,true,4,0.049383,2,0.153846,223721,0.073406,-0.024023,-0.104463
Aceh,PDA,PDA,local_aceh,false,1,0.012346,0,0.000000,0,0.000000,,
Aceh,PDIP,Partai Demokrasi Indonesia Perjuangan,national,true,1,0.012346,1,0.076923,153336,0.050312,-0.037966,-0.064577
Aceh,PNA,PNA,local_aceh,false,1,0.012346,0,0.000000,0,0.000000,,
Aceh,Buruh,Partai Buruh,national,true,0,0.000000,0,0.000000,12823,0.004207,-0.004207,0.000000
Aceh,Garuda,Partai Garda Republik Indonesia,national,true,0,0.000000,0,0.000000,8051,0.002642,-0.002642,0.000000
Aceh,Gelora,Partai Gelombang Rakyat Indonesia,national,true,0,0.000000,0,0.000000,19625,0.006439,-0.006439,0.000000
Aceh,Hanura,Partai Hati Nurani Rakyat,national,true,0,0.000000,0,0.000000,54024,0.017726,-0.017726,0.000000
Aceh,PBB,Partai Bulan Bintang,national,true,0,0.000000,0,0.000000,25134,0.008247,-0.008247,0.000000
Aceh,PKN,Partai Kebangkitan Nusantara,national,true,0,0.000000,0,0.000000,4028,0.001322,-0.001322,0.000000
Aceh,PSI,Partai Solidaritas Indonesia,national,true,0,0.000000,0,0.000000,22809,0.007484,-0.007484,0.000000
Aceh,Perindo,Partai Perindo,national,true,0,0.000000,0,0.000000,8349,0.002739,-0.002739,0.000000
Aceh,Ummat,Partai Ummat,national,true,0,0.000000,0,0.000000,18274,0.005996,-0.005996,0.000000
Bali,PDIP,Partai Demokrasi Indonesia Perjuangan,national,true,32,0.581818,5,0.555556,1290884,0.524603,0.057215,0.026263
Bali,Gerindra,Partai Gerakan Indonesia Raya,national,true,10,0.181818,1,0.111111,295313,0.120012,0.061806,0.070707
Bali,Golkar,Partai Golongan Karya,national,true,7,0.127273,1,0.111111,333521,0.135540,-0.008267,0.016162
Bali,Demokrat,Partai Demokrat,national,true,3,0.054545,1,0.111111,174476,0.070905,-0.016360,-0.056566
Bali,NasDem,Partai NasDem,national,true,2,0.036364,1,0.111111,147678,0.060015,-0.023651,-0.074747
Bali,PSI,Partai Solidaritas Indonesia,national,true,1,0.018182,0,0.000000,60722,0.024677,-0.006495,0.018182
Bali,Buruh,Partai Buruh,national,true,0,0.000000,0,0.000000,9045,0.003676,-0.003676,0.000000
Bali,Garuda,Partai Garda Republik Indonesia,national,true,0,0.000000,0,0.000000,4600,0.001869,-0.001869,0.000000
Bali,Gelora,Partai Gelombang Rakyat Indonesia,national,true,0,0.000000,0,0.000000,23731,0.009644,-0.009644,0.000000
Bali,Hanura,Partai Hati Nurani Rakyat,national,true,0,0.000000,0,0.000000,9851,0.004003,-0.004003,0.000000
Bali,PAN,Partai Amanat Nasional,national,true,0,0.000000,0,0.000000,6683,0.002716,-0.002716,0.000000
Bali,PBB,Partai Bulan Bintang,national,true,0,0.000000,0,0.000000,1805,0.000734,-0.000734,0.000000
Bali,PKB,Partai Kebangkitan Bangsa,national,true,0,0.000000,0,0.000000,41628,0.016917,-0.016917,0.000000
Bali,PKN,Partai Kebangkitan Nusantara,national,true,0,0.000000,0,0.000000,23681,0.009624,-0.009624,0.000000
Bali,PKS,Partai Keadilan Sejahtera,national,true,0,0.000000,0,0.000000,19145,0.007780,-0.007780,0.000000
Bali,PPP,Partai Persatuan Pembangunan,national,true,0,0.000000,0,0.000000,5232,0.002126,-0.002126,0.000000
Bali,Perindo,Partai Perindo,national,true,0,0.000000,0,0.000000,10531,0.004280,-0.004280,0.000000
Bali,Ummat,Partai Ummat,national,true,0,0.000000,0,0.000000,2160,0.000878,-0.000878,0.000000
Banten,Gerindra,Partai Gerakan Indonesia Raya,national,true,14,0.140000,3,0.136364,706915,0.109000,0.031000,0.003636
Banten,Golkar,Partai Golongan Karya,national,true,14,0.140000,4,0.181818,931294,0.143597,-0.003597,-0.041818
Banten,PDIP,Partai Demokrasi Indonesia Perjuangan,national,true,14,0.140000,4,0.181818,820438,0.126504,0.013496,-0.041818
Banten,PKS,Partai Keadilan Sejahtera,national,true,13,0.130000,2,0.090909,686645,0.105874,0.024126,0.039091
Banten,Demokrat,Partai Demokrat,national,true,11,0.110000,2,0.090909,627819,0.096804,0.013196,0.019091
Banten,NasDem,Partai NasDem,national,true,10,0.100000,3,0.136364,570546,0.087973,0.012027,-0.036364
Banten,PKB,Partai Kebangkitan Bangsa,national,true,10,0.100000,2,0.090909,691678,0.106650,-0.006650,0.009091
Banten,PAN,Partai Amanat Nasional,national,true,7,0.070000,2,0.090909,581145,0.089607,-0.019607,-0.020909
Banten,PPP,Partai Persatuan Pembangunan,national,true,4,0.040000,0,0.000000,290030,0.044720,-0.004720,0.040000
Banten,PSI,Partai Solidaritas Indonesia,national,true,3,0.030000,0,0.000000,246571,0.038019,-0.008019,0.030000
Banten,Buruh,Partai Buruh,national,true,0,0.000000,0,0.000000,63614,0.009809,-0.009809,0.000000
Banten,Garuda,Partai Garda Republik Indonesia,national,true,0,0.000000,0,0.000000,18938,0.002920,-0.002920,0.000000
Banten,Gelora,Partai Gelombang Rakyat Indonesia,national,true,0,0.000000,0,0.000000,60013,0.009253,-0.009253,0.000000
Banten,Hanura,Partai Hati Nurani Rakyat,national,true,0,0.000000,0,0.000000,21994,0.003391,-0.003391,0.000000
Banten,PBB,Partai Bulan Bintang,national,true,0,0.000000,0,0.000000,30017,0.004628,-0.004628,0.000000
Banten,PKN,Partai Kebangkitan Nusantara,national,true,0,0.000000,0,0.000000,9609,0.001482,-0.001482,0.000000
Banten,Perindo,Partai Perindo,national,true,0,0.000000,0,0.000000,100540,0.015502,-0.015502,0.000000
Banten,Ummat,Partai Ummat,national,true,0,0.000000,0,0.000000,27665,0.004266,-0.004266,0.000000
Bengkulu,Golkar,Partai Golongan Karya,national,true,10,0.222222,1,0.250000,324563,0.281832,-0.059609,-0.027778
Bengkulu,Gerindra,Partai Gerakan Indonesia Raya,national,true,6,0.133333,0,0.000000,88087,0.076490,0.056844,0.133333
Bengkulu,PAN,Partai Amanat Nasional,national,true,6,0.133333,1,0.250000,188346,0.163549,-0.030215,-0.116667
Bengkulu,PDIP,Partai Demokrasi Indonesia Perjuangan,national,true,6,0.133333,1,0.250000,180917,0.157098,-0.023764,-0.116667
Bengkulu,Demokrat,Partai Demokrat,national,true,4,0.088889,0,0.000000,27368,0.023765,0.065124,0.088889
Bengkulu,NasDem,Partai NasDem,national,true,4,0.088889,1,0.250000,141236,0.122641,-0.033752,-0.161111
Bengkulu,Hanura,Partai Hati Nurani Rakyat,national,true,3,0.066667,0,0.000000,11688,0.010149,0.056517,0.066667
Bengkulu,PKB,Partai Kebangkitan Bangsa,national,true,3,0.066667,0,0.000000,30979,0.026900,0.039766,0.066667
Bengkulu,PKS,Partai Keadilan Sejahtera,national,true,2,0.044444,0,0.000000,70344,0.061083,-0.016638,0.044444
Bengkulu,PPP,Partai Persatuan Pembangunan,national,true,1,0.022222,0,0.000000,9460,0.008215,0.014008,0.022222
Bengkulu,Buruh,Partai Buruh,national,true,0,0.000000,0,0.000000,6399,0.005557,-0.005557,0.000000
Bengkulu,Garuda,Partai Garda Republik Indonesia,national,true,0,0.000000,0,0.000000,4300,0.003734,-0.003734,0.000000
Bengkulu,Gelora,Partai Gelombang Rakyat Indonesia,national,true,0,0.000000,0,0.000000,10400,0.009031,-0.009031,0.000000
Bengkulu,PBB,Partai Bulan Bintang,national,true,0,0.000000,0,0.000000,3663,0.003181,-0.003181,0.000000
Bengkulu,PKN,Partai Kebangkitan Nusantara,national,true,0,0.000000,0,0.000000,3043,0.002642,-0.002642,0.000000
Bengkulu,PSI,Partai Solidaritas Indonesia,national,true,0,0.000000,0,0.000000,17214,0.014948,-0.014948,0.000000
Bengkulu,Perindo,Partai Perindo,national,true,0,0.000000,0,0.000000,29775,0.025855,-0.025855,0.000000
Bengkulu,Ummat,Partai Ummat,national,true,0,0.000000,0,0.000000,3838,0.003333,-0.003333,0.000000
DKI Jakarta,PKS,Partai Keadilan Sejahtera,national,true,18,0.169811,5,0.238095,1195699,0.179991,-0.010180,-0.068284
DKI Jakarta,PDIP,Partai Demokrasi Indonesia Perjuangan,national,true,15,0.141509,4,0.190476,1044203,0.157186,-0.015676,-0.048967
DKI Jakarta,Gerindra,Partai Gerakan Indonesia Raya,national,true,14,0.132075,3,0.142857,753569,0.113436,0.018639,-0.010782
DKI Jakarta,Golkar,Partai Golongan Karya,national,true,10,0.094340,2,0.095238,684464,0.103034,-0.008694,-0.000898
DKI Jakarta,NasDem,Partai NasDem,national,true,10,0.094340,1,0.047619,475924,0.071642,0.022698,0.046721
