province,party,seats,source_url,notes
Aceh,Partai Aceh,20,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Aceh,elected party seats only
Aceh,NasDem,10,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Aceh,elected party seats only
Aceh,Golkar,9,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Aceh,elected party seats only
Aceh,PKB,9,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Aceh,elected party seats only
Aceh,Demokrat,7,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Aceh,elected party seats only
Aceh,Gerindra,5,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Aceh,elected party seats only
Aceh,PAN,5,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Aceh,elected party seats only
Aceh,PPP,5,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Aceh,elected party seats only
Aceh,PASA,4,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Aceh,elected party seats only
Aceh,PKS,4,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Aceh,elected party seats only
Aceh,PDA,1,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Aceh,elected party seats only
Aceh,PDI-P,1,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Aceh,elected party seats only
Aceh,PNA,1,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Aceh,elected party seats only
Sumatera Utara,Golkar,22,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Sumatera_Utara,elected party seats only
Sumatera Utara,PDI-P,21,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Sumatera_Utara,elected party seats only
Sumatera Utara,Gerindra,13,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Sumatera_Utara,elected party seats only
Sumatera Utara,NasDem,12,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Sumatera_Utara,elected party seats only
Sumatera Utara,PKS,10,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Sumatera_Utara,elected party seats only
Sumatera Utara,PAN,6,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Sumatera_Utara,elected party seats only
Sumatera Utara,Demokrat,5,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Sumatera_Utara,elected party seats only
Sumatera Utara,Hanura,5,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Sumatera_Utara,elected party seats only
Sumatera Utara,PKB,4,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Sumatera_Utara,elected party seats only
Sumatera Utara,PPP,1,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Sumatera_Utara,elected party seats only
Sumatera Utara,Perindo,1,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Sumatera_Utara,elected party seats only
Sumatera Barat,Gerindra,10,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Sumatera_Barat,elected party seats only
Sumatera Barat,PKS,10,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Sumatera_Barat,elected party seats only
Sumatera Barat,Golkar,9,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Sumatera_Barat,elected party seats only
Sumatera Barat,NasDem,9,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Sumatera_Barat,elected party seats only
Sumatera Barat,Demokrat,8,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Sumatera_Barat,elected party seats only
Sumatera Barat,PAN,8,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Sumatera_Barat,elected party seats only
Sumatera Barat,PPP,5,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Sumatera_Barat,elected party seats only
Sumatera Barat,PDI-P,3,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Sumatera_Barat,elected party seats only
Sumatera Barat,PKB,3,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Sumatera_Barat,elected party seats only
Riau,PDI-P,11,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Riau,elected party seats only
Riau,Golkar,10,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Riau,elected party seats only
Riau,PKS,10,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Riau,elected party seats only
Riau,Demokrat,8,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Riau,elected party seats only
Riau,Gerindra,8,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Riau,elected party seats only
Riau,NasDem,6,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Riau,elected party seats only
Riau,PKB,6,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Riau,elected party seats only
Riau,PAN,5,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Riau,elected party seats only
Riau,PPP,1,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Riau,elected party seats only
Kepulauan Riau,Gerindra,9,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Kepulauan_Riau,elected party seats only
Kepulauan Riau,Golkar,9,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Kepulauan_Riau,elected party seats only
Kepulauan Riau,NasDem,7,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Kepulauan_Riau,elected party seats only
Kepulauan Riau,PKS,6,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Kepulauan_Riau,elected party seats only
Kepulauan Riau,PDI-P,4,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Kepulauan_Riau,elected party seats only
Kepulauan Riau,Demokrat,3,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Kepulauan_Riau,elected party seats only
Kepulauan Riau,PAN,2,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Kepulauan_Riau,elected party seats only
Kepulauan Riau,PKB,2,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Kepulauan_Riau,elected party seats only
Kepulauan Riau,Hanura,1,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Kepulauan_Riau,elected party seats only
Kepulauan Riau,PSI,1,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Kepulauan_Riau,elected party seats only
Kepulauan Riau,Perindo,1,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Kepulauan_Riau,elected party seats only
Bengkulu,Golkar,10,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Bengkulu,elected party seats only
Bengkulu,Gerindra,6,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Bengkulu,elected party seats only
Bengkulu,PAN,6,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Bengkulu,elected party seats only
Bengkulu,PDI-P,6,https://id.wikipedia.org/wiki/Dewan_Perwakilan_Rakyat_Daerah_Provinsi_Bengkulu,elected party seats only
