province,province_raw,candidate_name,vote_count,rank
Aceh,ACEH,"H. SUDIRMAN HAJI UMA, S. Sos.",1060991,1
Aceh,ACEH,Tgk. AHMADA,207464,2
Aceh,ACEH,DARWATI A. GANI,184528,3
Aceh,ACEH,"AZHARI CAGE, S.IP",150934,4
Aceh,ACEH,"H. M. FADHIL RAHMI, Lc., M.Ag.",137754,5
Aceh,ACEH,"H. AKHYAR KAMIL, S.H.",136002,6
Aceh,ACEH,ABDUL HADI BANG JONI,119669,7
Aceh,ACEH,"RAHMAD MAULIZAR, S.AN",103426,8
Aceh,ACEH,SOFYAN ARDI,90945,9
Aceh,ACEH,"H. SAYED MUHAMMAD MULIADY, S.H.",86434,10
Aceh,ACEH,"MIZAR LIYANDA, S.TP., M.P.",67166,11
Aceh,ACEH,RAHMAT RAZI AULIA (MC RAZI),66526,12
Aceh,ACEH,"Dr. H. A. MUFAKHIR MUHAMMAD, M.A.",60563,13
Aceh,ACEH,"dr. IRSALINA HUSNA AZWIR, S.H., Sp.DV., CPM",54805,14
Aceh,ACEH,NAZAR APACHE,52020,15
Aceh,ACEH,"Drs. SAHIDAL KASTRI, M.Pd.",45619,16
Aceh,ACEH,"DEDY MULYADI SELIAN, S.T.",43603,17
Aceh,ACEH,"DEDI SUMARDI NURDIN, A.Md.Kep., S.K.M., M.M.",40667,18
Aceh,ACEH,"Dr. MULIA RAHMAN, S.Pd.I., M.A.",36810,19
Aceh,ACEH,"SAFIR (FIRSA AGAM), S.H.",27685,20
Aceh,ACEH,"M. FAKHRUDDIN, S.T.",23567,21
Aceh,ACEH,H. FIRMANDEZ,22497,22
Aceh,ACEH,"NAZIR ADAM, S.E., M.M.",22477,23
Aceh,ACEH,"Ir. RAZALI AR, M.Si.",21096,24
Aceh,ACEH,"M. ZULMI, S.E.",19998,25
Aceh,ACEH,"M. ADAM, S.Pd.SD.",16433,26
Aceh,ACEH,"M. AMIN SAID, S.H., M.Hum.",15834,27
Aceh,ACEH,"Dr. H. MOHD. ILYAS, S.E., M.M.",15560,28
Aceh,ACEH,"Dr. RAIHANAH, M.Si.",11873,29
Aceh,ACEH,"ZULFIKAR, S.E.",0,30
Sumatera Utara,SUMATERA UTARA,"Ust. Dr. H. DEDI ISKANDAR BATUBARA, S.Sos., S.H., M.S.P., M.H., C.I.R.B.C., C.W.C.",1081487,1
Sumatera Utara,SUMATERA UTARA,"Pdt. PENRAD SIAGIAN, S.Th., M.Si., Teol.",642165,2
Sumatera Utara,SUMATERA UTARA,"K.H. MUHAMMAD NUH, M.S.P.",618241,3
Sumatera Utara,SUMATERA UTARA,"Dr. BADIKENITA BR SITEPU, S.E., S.H., M.Si.",553752,4
Sumatera Utara,SUMATERA UTARA,"H. FAISAL AMRI, S.Ag., M.Ag.",546936,5
Sumatera Utara,SUMATERA UTARA,"Dr. PARLINDUNGAN PURBA, S.H., M.M.",532646,6
Sumatera Utara,SUMATERA UTARA,"BAHRUL 'ULUM HARAHAP, S.Fil.I., M.Pd.",400451,7
Sumatera Utara,SUMATERA UTARA,"SABAM PARULIAN PARSAORAN MANALU, S.E., M.A.P.",278853,8
Sumatera Utara,SUMATERA UTARA,"Ust. RAFDINAL, S.Sos., M.A.P.",259510,9
Sumatera Utara,SUMATERA UTARA,"DARWIS H. HARAHAP, S.P.",244907,10
Sumatera Utara,SUMATERA UTARA,"H. ALBINER SITOMPUL, S.I.P., M.A.P.",232949,11
Sumatera Utara,SUMATERA UTARA,Ir. ABDON NABABAN,208979,12
Sumatera Utara,SUMATERA UTARA,"PARULIAN SIREGAR, M.A.",165389,13
Sumatera Utara,SUMATERA UTARA,"ANDI JUNIANTO BARUS, S.H., M.H.",162322,14
Sumatera Utara,SUMATERA UTARA,"M. FIRMAN SHAH, S.H.",151549,15
