province,province_raw,district,party_number,party_code,party_name,party_vote,candidate_number,candidate_name,candidate_vote,candidate_rank,candidate_rank_raw
Aceh,ACEH,ACEH I,1,PKB,Partai Kebangkitan Bangsa,20067,1,"H. IRMAWAN, S.Sos., M.M.",125234,1,I
Aceh,ACEH,ACEH I,1,PKB,Partai Kebangkitan Bangsa,20067,5,"Tgk. MUJLISAL, S.Ag.",94227,2,II
Aceh,ACEH,ACEH I,1,PKB,Partai Kebangkitan Bangsa,20067,2,M. RAMADHANA RUSLI BINTANG,55775,3,III
Aceh,ACEH,ACEH I,1,PKB,Partai Kebangkitan Bangsa,20067,7,"Tgk. H. SYARIFUDDIN, M.A.",15825,4,IV
Aceh,ACEH,ACEH I,1,PKB,Partai Kebangkitan Bangsa,20067,4,"TEUKU HAMZAH HUSEN, S.E., M.M.",5654,5,V
Aceh,ACEH,ACEH I,1,PKB,Partai Kebangkitan Bangsa,20067,3,"MAHDALENA, S.Hut.",2313,6,VI
Aceh,ACEH,ACEH I,1,PKB,Partai Kebangkitan Bangsa,20067,6,drh. HASNIDAR,938,7,VII
Aceh,ACEH,ACEH I,2,Gerindra,Partai Gerakan Indonesia Raya,10121,1,"FADHLULLAH, S.E.",53388,1,I
Aceh,ACEH,ACEH I,2,Gerindra,Partai Gerakan Indonesia Raya,10121,7,ZAITUN MHD,28959,2,II
Aceh,ACEH,ACEH I,2,Gerindra,Partai Gerakan Indonesia Raya,10121,2,Dra. Hj. ZULHAFAH,5352,3,III
Aceh,ACEH,ACEH I,2,Gerindra,Partai Gerakan Indonesia Raya,10121,3,"Drs. HASANUDDIN DARJO, M.M.",2624,4,IV
Aceh,ACEH,ACEH I,2,Gerindra,Partai Gerakan Indonesia Raya,10121,4,Ir. H. MAULISMAN HANAFIAH,1622,5,V
Aceh,ACEH,ACEH I,2,Gerindra,Partai Gerakan Indonesia Raya,10121,5,Ir. MUDDATSTSIR KAMIL,1214,6,VI
Aceh,ACEH,ACEH I,2,Gerindra,Partai Gerakan Indonesia Raya,10121,6,"ERLIN, S.E.",725,7,VII
Aceh,ACEH,ACEH I,3,PDIP,Partai Demokrasi Indonesia Perjuangan,5325,2,"JAMALUDDIN IDHAM, S.H., M.H.",71608,1,I
Aceh,ACEH,ACEH I,3,PDIP,Partai Demokrasi Indonesia Perjuangan,5325,1,SOFYAN DAWOOD,34840,2,II
Aceh,ACEH,ACEH I,3,PDIP,Partai Demokrasi Indonesia Perjuangan,5325,7,"H. DAHLAN JAMALUDDIN, S.I.P.",9670,3,III
Aceh,ACEH,ACEH I,3,PDIP,Partai Demokrasi Indonesia Perjuangan,5325,5,H. RAMLI MS,9104,4,IV
Aceh,ACEH,ACEH I,3,PDIP,Partai Demokrasi Indonesia Perjuangan,5325,3,YUNIATI,1465,5,V
Aceh,ACEH,ACEH I,3,PDIP,Partai Demokrasi Indonesia Perjuangan,5325,4,"RIFKI TAJUDDIN, S.E.",1012,6,VI
Aceh,ACEH,ACEH I,3,PDIP,Partai Demokrasi Indonesia Perjuangan,5325,6,PUSPITA FIRDA OKTYANI,253,7,VII
Aceh,ACEH,ACEH I,4,Golkar,Partai Golongan Karya,13238,4,Drs. H. T. ZULKARNAINI AMPON BANG,91816,1,I
Aceh,ACEH,ACEH I,4,Golkar,Partai Golongan Karya,13238,2,"H. M. SALIM FAKHRY, S.E., M.M.",86697,2,II
Aceh,ACEH,ACEH I,4,Golkar,Partai Golongan Karya,13238,1,H. T. M. NURLIF,59221,3,III
Aceh,ACEH,ACEH I,4,Golkar,Partai Golongan Karya,13238,3,"Hj. SAMSIAR, S.E.",3654,4,IV
Aceh,ACEH,ACEH I,4,Golkar,Partai Golongan Karya,13238,5,"Dr. H. M. SALEH.P, S.Pd.I., M.Si.",1639,5,V
Aceh,ACEH,ACEH I,4,Golkar,Partai Golongan Karya,13238,7,T. M. ALI TAR,1174,6,VI
Aceh,ACEH,ACEH I,4,Golkar,Partai Golongan Karya,13238,6,"NENI RUMIANTI DAULAY, S.E.",604,7,VII
Aceh,ACEH,ACEH I,5,NasDem,Partai NasDem,18170,2,"H. MUSLIM AYUB, S.H., M.M.",73995,1,I
Aceh,ACEH,ACEH I,5,NasDem,Partai NasDem,18170,1,"Dr. TEUKU TAUFIQULHADI, M.Si.",34675,2,II
Aceh,ACEH,ACEH I,5,NasDem,Partai NasDem,18170,4,"TEUNGKU RAZUAN, S.H.",19193,3,III
Aceh,ACEH,ACEH I,5,NasDem,Partai NasDem,18170,5,"T. ISKANDAR DAOD, S.E., M.Si.",5077,4,IV
Aceh,ACEH,ACEH I,5,NasDem,Partai NasDem,18170,7,"SUPRIJAL YUSUF, S.H.",4041,5,V
Aceh,ACEH,ACEH I,5,NasDem,Partai NasDem,18170,3,"Dra. Hj. MEDIATI HAFNI HANUM, S.H., M.Kn., CPM.",2103,6,VI
Aceh,ACEH,ACEH I,5,NasDem,Partai NasDem,18170,6,CUT SRI MAINITA,1613,7,VII
Aceh,ACEH,ACEH I,6,Buruh,Partai Buruh,1473,1,Habibi Inseun,3216,1,I
Aceh,ACEH,ACEH I,6,Buruh,Partai Buruh,1473,2,"Mahadi Manik, S.Si., M.Si.",683,2,II
Aceh,ACEH,ACEH I,6,Buruh,Partai Buruh,1473,4,"Sayed Masykur, S.T.",482,3,III
Aceh,ACEH,ACEH I,6,Buruh,Partai Buruh,1473,3,Rosmana Dewi,414,4,IV
Aceh,ACEH,ACEH I,6,Buruh,Partai Buruh,1473,5,Zarlina,195,5,V
Aceh,ACEH,ACEH I,6,Buruh,Partai Buruh,1473,6,Hariyanto Latuheru,135,6,VI
Aceh,ACEH,ACEH I,6,Buruh,Partai Buruh,1473,7,Siti Sundari,132,7,VII
Aceh,ACEH,ACEH I,7,Gelora,Partai Gelombang Rakyat Indonesia,2163,1,AZMI FAJRI USMAN,4916,1,I
Aceh,ACEH,ACEH I,7,Gelora,Partai Gelombang Rakyat Indonesia,2163,2,TGK KHALIDI AL-DJADAMI,2147,2,II
Aceh,ACEH,ACEH I,7,Gelora,Partai Gelombang Rakyat Indonesia,2163,4,NASRUDDIN AWL,805,3,III
Aceh,ACEH,ACEH I,7,Gelora,Partai Gelombang Rakyat Indonesia,2163,7,MOHARRIADI,495,4,IV
Aceh,ACEH,ACEH I,7,Gelora,Partai Gelombang Rakyat Indonesia,2163,3,KASUMIYATI,375,5,V
Aceh,ACEH,ACEH I,7,Gelora,Partai Gelombang Rakyat Indonesia,2163,5,EDY SUPENO,366,6,VI
