province,district,party_number,party_code,party_name,party_vote,candidate_count,candidate_vote_total,total_votes,top_candidate_name,top_candidate_vote,top_candidate_vote_share,party_vote_share
Aceh,ACEH I,1,PKB,Partai Kebangkitan Bangsa,20067,7,299966,320033,"H. IRMAWAN, S.Sos., M.M.",125234,0.417494,0.062703
Aceh,ACEH I,2,Gerindra,Partai Gerakan Indonesia Raya,10121,7,93884,104005,"FADHLULLAH, S.E.",53388,0.568659,0.097313
Aceh,ACEH I,3,PDIP,Partai Demokrasi Indonesia Perjuangan,5325,7,127952,133277,"JAMALUDDIN IDHAM, S.H., M.H.",71608,0.559647,0.039954
Aceh,ACEH I,4,Golkar,Partai Golongan Karya,13238,7,244805,258043,Drs. H. T. ZULKARNAINI AMPON BANG,91816,0.375058,0.051302
Aceh,ACEH I,5,NasDem,Partai NasDem,18170,7,140697,158867,"H. MUSLIM AYUB, S.H., M.M.",73995,0.525917,0.114372
Aceh,ACEH I,6,Buruh,Partai Buruh,1473,7,5257,6730,Habibi Inseun,3216,0.611756,0.218871
Aceh,ACEH I,7,Gelora,Partai Gelombang Rakyat Indonesia,2163,7,9196,11359,AZMI FAJRI USMAN,4916,0.534580,0.190422
Aceh,ACEH I,8,PKS,Partai Keadilan Sejahtera,15586,7,103995,119581,GHUFRAN,46713,0.449185,0.130338
Aceh,ACEH I,9,PKN,Partai Kebangkitan Nusantara,580,6,1240,1820,"YUDI KURNIA, S.E.",631,0.508871,0.318681
Aceh,ACEH I,10,Hanura,Partai Hati Nurani Rakyat,2313,7,26271,28584,"Dr. H. ASFIFUDDIN, S.H., M.H.",20214,0.769442,0.080919
Aceh,ACEH I,11,Garuda,Partai Garda Republik Indonesia,726,6,1985,2711,CHAIDIR FURRAZI NUR,903,0.454912,0.267798
Aceh,ACEH I,12,PAN,Partai Amanat Nasional,10187,7,175680,185867,H. NAZARUDDIN DEK GAM,140614,0.800398,0.054808
Aceh,ACEH I,13,PBB,Partai Bulan Bintang,1742,7,16314,18056,"H. ERLI HASIM, S.H., S.Ag., M.I.Kom.",12470,0.764374,0.096478
Aceh,ACEH I,14,Demokrat,Partai Demokrat,10891,7,120022,130913,H. TEUKU RIEFKY HARSYA,88005,0.733241,0.083193
