province,party_code,party_name,provincial_seats,kabkot_seats,kabkot_to_provincial_ratio,ratio_defined
Aceh,PKB,Partai Kebangkitan Bangsa,9,53,5.888889,true
Aceh,Gerindra,Partai Gerakan Indonesia Raya,5,59,11.800000,true
Aceh,PDIP,Partai Demokrasi Indonesia Perjuangan,1,8,8.000000,true
Aceh,Golkar,Partai Golongan Karya,9,89,9.888889,true
Aceh,NasDem,Partai NasDem,10,69,6.900000,true
Aceh,Buruh,Partai Buruh,0,0,,false
Aceh,Gelora,Partai Gelombang Rakyat Indonesia,0,3,,false
Aceh,PKS,Partai Keadilan Sejahtera,4,48,12.000000,true
Aceh,PKN,Partai Kebangkitan Nusantara,0,0,,false
Aceh,Hanura,Partai Hati Nurani Rakyat,0,21,,false
Aceh,Garuda,Partai Garda Republik Indonesia,0,1,,false
Aceh,PAN,Partai Amanat Nasional,5,57,11.400000,true
Aceh,PBB,Partai Bulan Bintang,0,7,,false
Aceh,Demokrat,Partai Demokrat,7,59,8.428571,true
Aceh,PSI,Partai Solidaritas Indonesia,0,0,,false
Aceh,Perindo,Partai Perindo,0,0,,false
Aceh,PPP,Partai Persatuan Pembangunan,5,27,5.400000,true
Aceh,PNA,PNA,1,21,21.000000,true
Aceh,Gabthat,Gabthat,0,0,,false
Aceh,PDA,PDA,1,7,7.000000,true
Aceh,PA,PA,20,116,5.800000,true
Aceh,PASA,PASA,4,16,4.000000,true
Aceh,SIRA,SIRA,0,3,,false
Aceh,Ummat,Partai Ummat,0,1,,false
Sumatera Utara,PKB,Partai Kebangkitan Bangsa,4,58,14.500000,true
Sumatera Utara,Gerindra,Partai Gerakan Indonesia Raya,13,133,10.230769,true
Sumatera Utara,PDIP,Partai Demokrasi Indonesia Perjuangan,21,182,8.666667,true
Sumatera Utara,Golkar,Partai Golongan Karya,22,207,9.409091,true
Sumatera Utara,NasDem,Partai NasDem,12,140,11.666667,true
Sumatera Utara,Buruh,Partai Buruh,0,0,,false
Sumatera Utara,Gelora,Partai Gelombang Rakyat Indonesia,0,5,,false
Sumatera Utara,PKS,Partai Keadilan Sejahtera,10,56,5.600000,true
Sumatera Utara,PKN,Partai Kebangkitan Nusantara,0,4,,false
Sumatera Utara,Hanura,Partai Hati Nurani Rakyat,5,65,13.000000,true
Sumatera Utara,Garuda,Partai Garda Republik Indonesia,0,1,,false
Sumatera Utara,PAN,Partai Amanat Nasional,6,84,14.000000,true
