source_dataset,province_raw,province
dpd_votes.csv,ACEH,Aceh
dpr_all.csv,ACEH,Aceh
dpd_votes.csv,SUMATERA UTARA,Sumatera Utara
dpr_all.csv,SUMATERA UTARA,Sumatera Utara
dpd_votes.csv,SUMATERA BARAT,Sumatera Barat
dpr_all.csv,SUMATERA BARAT,Sumatera Barat
dpd_votes.csv,RIAU,Riau
dpr_all.csv,RIAU,Riau
dpd_votes.csv,KEPULAUAN RIAU,Kepulauan Riau
dpr_all.csv,KEPULAUAN RIAU,Kepulauan Riau
dpd_votes.csv,JAMBI,Jambi
dpr_all.csv,JAMBI,Jambi
dpd_votes.csv,SUMATERA SELATAN,Sumatera Selatan
dpr_all.csv,SUMATERA SELATAN,Sumatera Selatan
dpd_votes.csv,KEPULAUAN BANGKA BELITUNG,Kepulauan Bangka Belitung
dpr_all.csv,KEPULAUAN BANGKA BELITUNG,Kepulauan Bangka Belitung
dpd_votes.csv,BENGKULU,Bengkulu
dpr_all.csv,BENGKULU,Bengkulu
dpd_votes.csv,LAMPUNG,Lampung
dpr_all.csv,LAMPUNG,Lampung
dpd_votes.csv,DKI JAKARTA,DKI Jakarta
dpr_all.csv,DKI JAKARTA,DKI Jakarta
dpd_votes.csv,JAWA BARAT,Jawa Barat
dpr_all.csv,JAWA BARAT,Jawa Barat
dpd_votes.csv,JAWA TENGAH,Jawa Tengah
dpr_all.csv,JAWA TENGAH,Jawa Tengah
dpd_votes.csv,DAERAH ISTIMEWA YOGYAKARTA,Daerah Istimewa Yogyakarta
dpr_all.csv,DAERAH ISTIMEWA YOGYAKARTA,Daerah Istimewa Yogyakarta
dpd_votes.csv,JAWA TIMUR,Jawa Timur
dpr_all.csv,JAWA TIMUR,Jawa Timur
dpd_votes.csv,BANTEN,Banten
dpr_all.csv,BANTEN,Banten
dpd_votes.csv,BALI,Bali
dpr_all.csv,BALI,Bali
dpd_votes.csv,NUSA TENGGARA BARAT,Nusa Tenggara Barat
dpr_all.csv,NUSA TENGGARA BARAT,Nusa Tenggara Barat
dpd_votes.csv,NUSA TENGGARA TIMUR,Nusa Tenggara Timur
dpr_all.csv,NUSA TENGGARA TIMUR,Nusa Tenggara Timur
dpd_votes.csv,KALIMANTAN BARAT,Kalimantan Barat
dpr_all.csv,KALIMANTAN BARAT,Kalimantan Barat
dpd_votes.csv,KALIMANTAN TENGAH,Kalimantan Tengah
dpr_all.csv,KALIMANTAN TENGAH,Kalimantan Tengah
dpd_votes.csv,KALIMANTAN SELATAN,Kalimantan Selatan
dpr_all.csv,KALIMANTAN SELATAN,Kalimantan Selatan
dpd_votes.csv,KALIMANTAN TIMUR,Kalimantan Timur
dpr_all.csv,KALIMANTAN TMUR,Kalimantan Timur
dpd_votes.csv,KALIMANTAN UTARA,Kalimantan Utara
dpr_all.csv,KALIMANTAN UTARA,Kalimantan Utara
dpd_votes.csv,SULAWESI UTARA,Sulawesi Utara
dpr_all.csv,SULAWESI UTARA,Sulawesi Utara
dpd_votes.csv,GORONTALO,Gorontalo
dpr_all.csv,GORONTALO,Gorontalo
dpd_votes.csv,SULAWESI TENGAH,Sulawesi Tengah
dpr_all.csv,SULAWESI TENGAH,Sulawesi Tengah
dpd_votes.csv,SULAWESI SELATAN,Sulawesi Selatan
dpr_all.csv,SULAWESI SELATAN,Sulawesi Selatan
dpd_votes.csv,SULAWESI BARAT,Sulawesi Barat
dpr_all.csv,SULAWESI BARAT,Sulawesi Barat
dpd_votes.csv,SULAWESI TENGGARA,Sulawesi Tenggara
dpr_all.csv,SULAWESI TENGGARA,Sulawesi Tenggara
dpd_votes.csv,MALUKU,Maluku
dpr_all.csv,MALUKU,Maluku
dpd_votes.csv,MALUKU UTARA,Maluku Utara
dpr_all.csv,MALUKU UTARA,Maluku Utara
dpd_votes.csv,PAPUA,Papua
dpr_all.csv,P A P U A,Papua
dpd_votes.csv,PAPUA BARAT,Papua Barat
dpr_all.csv,PAPUA BARAT,Papua Barat
dpd_votes.csv,PAPUA SELATAN,Papua Selatan
dpr_all.csv,PAPUA SELATAN,Papua Selatan
dpd_votes.csv,PAPUA TENGAH,Papua Tengah
dpr_all.csv,PAPUA TENGAH,Papua Tengah
dpd_votes.csv,PAPUA PEGUNUNGAN,Papua Pegunungan
dpr_all.csv,PAPUA PEGUNUNGAN,Papua Pegunungan
dpr_all.csv,PAPUA BARAT DAYA,Papua Barat Daya
