Region,Anies_Pilpres,Prabowo_Pilpres,Ganjar_Pilpres,Total_Anies_Votes,Total_Prabowo_Votes,Total_Ganjar_Votes,Total_Independent_Votes,Total_Votes,Anies_Percentage,Prabowo_Percentage,Ganjar_Percentage,Independent_Percentage
Aceh,73.56,24.43,2.01,1157925,1401361,446458,16851,3022595,38.3089696105499,46.3628438477533,14.7706854540552,0.557501087641579
Papua Pegunungan,21.89,64.56,13.55,675764,395148,213862,21602,1306376,51.7281395249147,30.2476469255406,16.3706314261744,1.6535821233703
Papua Selatan,13.31,51.74,34.95,120658,106833,71356,2951,301798,39.9797215355967,35.3988429346782,23.6436291824333,0.977806347291897
Sulawesi Utara,7.3,75.31,17.39,220680,753271,551198,5394,1530543,14.418412288972,49.2159318620908,36.0132319052781,0.352423943659211
Sulawesi Tenggara,23.1,71.11,5.79,420677,685825,317326,14782,1438610,29.2419071186771,47.6727535607288,22.0578197009613,1.02751961963284
Papua Barat,11.32,52.26,36.42,106696,154665,55229,3591,320181,33.3236513097279,48.3054897073843,17.2493058613722,1.12155312151564
Kalimantan Barat,22.34,61.05,16.61,836776,1175865,973629,15331,3001601,27.877655957604,39.1745938250953,32.4369894599582,0.510760757342498
Sumatera Barat,56.53,39.45,4.02,1042733,1440997,404012,18158,2905900,35.8833063766819,49.5886644413091,13.9031625314016,0.624866650607385
Jawa Timur,17.52,65.19,17.29,7247025,10498253,5621552,138070,23504900,30.8319754604359,44.6641040804258,23.9165110253607,0.587409433777638
Kalimantan Tengah,16.98,72.52,10.5,277333,708154,355526,9570,1350583,20.5343174021885,52.433208473674,26.3238912380802,0.708582886057355
Nusa Tenggara Barat,26.2,66.37,7.43,932424,1385707,625937,33908,2977976,31.3106620066784,46.5318390745929,21.0188732212751,1.13862569745357
Nusa Tenggara Timur,5.27,61.8,32.93,653886,1432832,663767,42328,2792813,23.4131680137553,51.3042584662847,23.7669690022211,1.51560451773892
Gorontalo,29.39,65.24,5.37,261097,346945,128772,3417,740231,35.2723676798189,46.8698284724633,17.3961911889667,0.46161265875112
Kepulauan Bangka Belitung,23.08,59.85,17.07,152125,334251,256370,6070,748816,20.3154045853721,44.6372673660819,34.2367150274567,0.810613021089293
Lampung,15.49,69.55,14.96,1341125,2405410,862438,34439,4643412,28.8823175716477,51.8026399552743,18.5733680319558,0.741674441122175
Bali,3.7,54.26,42.04,210611,899046,1316498,32726,2458881,8.56531893979416,36.5632171707374,53.5405332750955,1.33093061437296
Sumatera Selatan,18.98,69.47,11.55,1592247,2582379,627670,49684,4851980,32.8164378253826,53.2231996009876,12.936368245541,1.02399432808874
Maluku Utara,26.84,60.93,12.23,187522,309978,184557,10468,692525,27.0780116241291,44.760550160644,26.6498682358038,1.51156997942313
Jawa Tengah,12.58,53.07,34.35,5572259,8208535,7029635,109394,20919823,26.6362626490673,39.2380709913272,33.6027460652989,0.522920294306505
Sulawesi Barat,27.23,65.14,7.63,216312,396697,166766,4107,783882,27.5949696510444,50.60672397121,21.274375479983,0.523930897762673
Papua,10.81,60.62,28.57,141520,302433,201131,10705,655789,21.580111895747,46.1174249644322,30.6700783331224,1.6323848066985
Jambi,24.15,65.23,10.62,506721,1003647,418010,17889,1946267,26.0355336652165,51.5677961965136,21.4775259509615,0.919144187308319
Papua Barat Daya,13.53,58.54,27.93,67634,219254,49092,3045,339025,19.9495612417963,64.6719268490524,14.480348056928,0.898163852223287
Bengkulu,18.1,70.43,11.47,246397,660278,231840,9442,1147957,21.4639572736609,57.5176596335925,20.1958784170487,0.822504675697783
Kalimantan Utara,17.67,69.71,12.62,51516,231105,93346,2503,378470,13.6116468940735,61.0629640394219,24.6640420641002,0.661347002404418
Kalimantan Timur,20.09,69.15,10.76,522394,1158695,314843,12303,2008235,26.0125931477143,57.6971818537173,15.6775974923254,0.612627506243044
Sumatera Utara,29.25,58.26,12.49,1918349,3704997,1724036,42937,7390319,25.957593982073,50.1331133338087,23.3283028784008,0.580989805717453
Maluku,21.16,61.59,17.25,293872,512260,208114,19727,1033973,28.421631899479,49.5428797463764,20.1276048794311,1.90788347471356
Sulawesi Tengah,21.5,69.57,8.93,464109,994268,227034,20578,1705989,27.2046888930702,58.2810322927053,13.3080576721186,1.20622114210584
Sulawesi Selatan,37.94,57.02,5.04,1541274,2758778,744491,27478,5072021,30.3877685049017,54.3920855217279,14.6783895413682,0.541756432002155
Banten,34.02,55.99,9.99,1976522,3172526,1231452,73219,6453719,30.6260932649841,49.1581055822232,19.0812770125256,1.13452414026703
Papua Tengah,11.66,57.94,30.4,217122,531202,343378,18003,1109705,19.5657404445326,47.8687579131391,30.9431785925088,1.62232304981955
Riau,37.96,52.35,9.69,1006285,1733291,614711,24211,3378498,29.7849813733795,51.3035970422359,18.1948013584735,0.716620225911041
Jawa Barat,31.68,58.5,9.82,8179577,13180188,4528530,314143,26202438,31.2168547064208,50.3013803524695,17.2828574196035,1.1989075215062
DKI Jakarta,41.07,41.67,17.26,2157740,2987993,1398772,83870,6628375,32.5530767344937,45.0788164519962,21.1027891451525,1.26531766835763
Kepulauan Riau,32.15,55.64,12.21,354019,501035,183782,12004,1050840,33.6891439229569,47.6794754672453,17.4890563739485,1.14232423584942
Kalimantan Selatan,35.16,58.23,6.61,624523,1310018,271868,15822,2222231,28.1034239914752,58.9505771452203,12.2340116756539,0.711987187650609
Yogyakarta,19.8,50.63,29.57,NA,NA,NA,NA,NA,NA,NA,NA,NA
